abs_corr,ci,ci_sigma,dsigma,extinction,htmid,kron_radius,kron_radius_sigma,num_filters,num_visits,spectrum_flag,start_mjd,start_time,stop_mjd,stop_time,x,y,z,match_id,target_name,num_images,num_images_per_filter,ra,dec,filter,flux,flux_sigma
"Y","1.1102325463479803","0.06956404326172924","10.996597249901768","0.39997410774230957","16671023491897","0.3499999940395355","0","1","3","N","51780.70987385884","2000-08-24 17:02:13.103","51783.61843865039","2000-08-27 14:50:33.103","0.5107789305828252","0.8071304930349065","0.2960494068374107","70273258","ANY","3","3","57.67301526381938","17.2204750642015","w2_f606w","19.545900344848633","0.07789039611816406"
"Y","1.4455813308094823","0","0","0.39225301146507263","17413033390147","0.3499999940395355","0","1","1","N","50885.17307800474","1998-03-13 04:09:13.940","50885.2547909976","1998-03-13 06:06:53.943","0.5125733765639079","0.8056924396924243","0.29686398612933546","60852181","ANY","1","1","57.53589424287095","17.269343854706776","w2_f606w","19.66689109802246","0"
"Y","1.659395503621847","0","0","0.39225301146507263","17413035213340","0.7275","0","1","1","N","50885.17307800474","1998-03-13 04:09:13.940","50885.2547909976","1998-03-13 06:06:53.943","0.512590259448847","0.8055388262515873","0.29725145133313585","107419653","ANY","1","1","57.53009146094377","17.292593474687585","w2_f606w","19.76409149169922","0"
"Y","1.5010465023129487","0","0","0.39225301146507263","17413033193508","0.3499999940395355","0","1","1","N","50885.17307800474","1998-03-13 04:09:13.940","50885.2547909976","1998-03-13 06:06:53.943","0.5124293231552224","0.805702551560137","0.2970851513968099","84577835","ANY","1","1","57.54351304872984","17.282614386005708","w2_f606w","19.325790405273438","0"
"Y","0.9709258874257405","0","0","0.42726460099220276","17413031628911","0.17499999701976776","0","1","1","N","52599.45461717574","2002-11-21 10:54:38.927","52599.478610761464","2002-11-21 11:29:11.973","0.510377786317205","0.8071186806494306","0.2967725570324313","37605173","ANY","1","1","57.692974132936556","17.26385813350033","a_f775w","19.78459930419922","0"
"Y","2.3660185160460294","0","0","0.444132000207901","17413031651437","0.17499999701976776","0","1","1","N","52599.45461717574","2002-11-21 10:54:38.927","52599.478610761464","2002-11-21 11:29:11.973","0.5104045905729145","0.8070559138716249","0.29689713005320745","65098279","ANY","1","1","57.68960200532965","17.2713325212171","a_f775w","19.856700897216797","0"
"Y","2.0530554983350964","0","0","0.444132000207901","17413024256605","0.17499999701976776","0","1","1","N","52599.45461717574","2002-11-21 10:54:38.927","52599.478610761464","2002-11-21 11:29:11.973","0.5100650444692236","0.8071824754382048","0.29713650361906424","15954690","ANY","1","1","57.7108813337407","17.2856957987357","a_f775w","19.46500015258789","0"
"Y","4.463240835401747","0","0","0.444132000207901","16671030945775","0.17499999701976776","0","1","1","N","52599.45461717574","2002-11-21 10:54:38.927","52599.478610761464","2002-11-21 11:29:11.973","0.5099738078382268","0.8073464935488108","0.2968473592611398","90859395","ANY","1","1","57.72076609647486","17.268346234750755","a_f775w","19.729700088500977","0"
"Y","4.115648181350142","0","0","0.443275511264801","17413035834915","0.17499999701976776","0","1","1","N","52599.45461717574","2002-11-21 10:54:38.927","52599.478610761464","2002-11-21 11:29:11.973","0.51052797416106","0.8069054313406373","0.29709394557764","10115408","ANY","1","1","57.67851826555518","17.283142080846773","a_f775w","19.51930046081543","0"
"Y","1.3680555202342846","0","0","0.444132000207901","17413035818961","0.17499999701976776","0","1","1","N","52599.45461717574","2002-11-21 10:54:38.927","52599.478610761464","2002-11-21 11:29:11.973","0.510380781888085","0.8069360757004835","0.29726356527384706","49693909","ANY","1","1","57.6869657192477","17.293320411614513","a_f775w","19.38920021057129","0"
"Y","4.069444426783809","0","0","0.443275511264801","17413036026585","0.17499999701976776","0","1","1","N","52599.45461717574","2002-11-21 10:54:38.927","52599.478610761464","2002-11-21 11:29:11.973","0.5105015423922246","0.8068459163376598","0.29730092924730755","76896442","ANY","1","1","57.677949116316476","17.29556257877387","a_f775w","19.14550018310547","0"
"Y","1.1205555112273604","0","0","0.444132000207901","17413024289797","0.17499999701976776","0","1","1","N","52599.45461717574","2002-11-21 10:54:38.927","52599.478610761464","2002-11-21 11:29:11.973","0.5101955056245444","0.8070470152887269","0.2972804419752151","43931909","ANY","1","1","57.69992080654453","17.294333158805397","a_f775w","19.879100799560547","0"
"Y","1.0794444216622245","0","0","0.444132000207901","17413024501330","0.17499999701976776","0","1","1","N","52599.45461717574","2002-11-21 10:54:38.927","52599.478610761464","2002-11-21 11:29:11.973","0.5100845705604545","0.8070562890022767","0.2974455870994551","55309958","ANY","1","1","57.70584546297975","17.30424358038894","a_f775w","19.833099365234375","0"
"Y","0.9856481243062901","0","0","0.444132000207901","17413024492539","0.17499999701976776","0","1","1","N","52599.45461717574","2002-11-21 10:54:38.927","52599.478610761464","2002-11-21 11:29:11.973","0.5100355280487318","0.8070879403248732","0.2974438043347245","58578392","ANY","1","1","57.70934816106637","17.304136593149906","a_f775w","19.90530014038086","0"
"Y","1.3125193673510884","0.10313903432720006","15.70030302651311","0.444132000207901","17413024743091","0.3499999940395355","0","1","3","N","52235.26823093044","2001-11-22 06:26:15.157","52599.467769060284","2002-11-21 11:13:35.250","0.5093367546624218","0.807245152805454","0.2982135704931701","105440254","ANY","3","3","57.74984797577166","17.3503375784583","w2_f606w","19.511791229248047","0.16160964965820312"
"Y","1.5084108640981275","0.14371388663012807","14.519547361388561","0.444132000207901","16671016486516","0.3499999940395355","0","1","3","N","52235.26823093044","2001-11-22 06:26:15.157","52599.467769060284","2002-11-21 11:13:35.250","0.5088337088220652","0.8074482743398654","0.29852226221175654","91753520","ANY","3","3","57.78189535543735","17.36886837151028","w2_f606w","19.26239013671875","0.1294994354248047"
"Y","0.9722510406580389","0.015340781132803823","0","0.4339923858642578","16681128055730","0.45499998331069946","0","2","1","N","55279.25764539139","2010-03-24 06:11:00.563","55279.28733575018","2010-03-24 06:53:45.810","0.45593837235081364","0.850322739937027","0.2628144565978115","100238632","2MASSJ04070885+1514565","2","1","61.80003560986694","15.237127804980032","w3_f164n","18.947200775146484","0"
"Y","0.9722510406580389","0.015340781132803823","0","0.4339923858642578","16681128055730","0.45499998331069946","0","2","1","N","55279.25764539139","2010-03-24 06:11:00.563","55279.28733575018","2010-03-24 06:53:45.810","0.45593837235081364","0.850322739937027","0.2628144565978115","100238632","2MASSJ04070885+1514565","2","1","61.80003560986694","15.237127804980032","w3_f127m","19.168699264526367","0"
