abs_corr,ci,ci_sigma,dsigma,extinction,htmid,kron_radius,kron_radius_sigma,num_filters,num_visits,spectrum_flag,start_mjd,start_time,stop_mjd,stop_time,x,y,z,match_id,target_name,num_images,num_images_per_filter,ra,dec,filter,flux,flux_sigma
"Y","1.0802299126811412","0","0","1.0941359996795654","16734347256250","0.3499999940395355","0","1","1","N","51570.526560250204","2000-01-27 12:38:14.810","51570.6240139585","2000-01-27 14:58:34.810","0.10350427908405756","0.921492732310233","0.37435011488073894","23059988","CRAB-FIELD-1","1","1","83.591261787514","21.984151668913004","w2_f502n","19.869590759277344","0"
"Y","1.1343677838643391","0","0","0.6835684180259705","16734347245691","0.3499999940395355","0","1","1","N","51570.526560250204","2000-01-27 12:38:14.810","51570.6240139585","2000-01-27 14:58:34.810","0.10332342146528896","0.9215510969773701","0.37425639104370406","87488094","CRAB-FIELD-1","1","1","83.60276895508815","21.97836072368715","w2_f502n","19.978090286254883","0"
"Y","1.014019150988731","0.09377006739911713","12.75483590320944","1.0941359996795654","16734347259972","0.24499999582767487","0.09036960987252109","5","7","N","51570.39531025011","2000-01-27 09:29:14.810","56383.33731733775","2013-04-01 08:05:44.220","0.10342445707638816","0.9215030270532504","0.37434683491608123","88429029","V-CM-TAU","10","1","83.596234049848","21.983949004667718","w2_f673n","19.084190368652344","0"
"Y","1.014019150988731","0.09377006739911713","12.75483590320944","1.0941359996795654","16734347259972","0.24499999582767487","0.09036960987252109","5","7","N","51570.39531025011","2000-01-27 09:29:14.810","56383.33731733775","2013-04-01 08:05:44.220","0.10342445707638816","0.9215030270532504","0.37434683491608123","88429029","V-CM-TAU","10","1","83.596234049848","21.983949004667718","w2_f631n","19.341489791870117","0"
"Y","1.014019150988731","0.09377006739911713","12.75483590320944","1.0941359996795654","16734347259972","0.24499999582767487","0.09036960987252109","5","7","N","51570.39531025011","2000-01-27 09:29:14.810","56383.33731733775","2013-04-01 08:05:44.220","0.10342445707638816","0.9215030270532504","0.37434683491608123","88429029","V-CM-TAU","10","6","83.596234049848","21.983949004667718","a_f550m","19.842000007629395","0.017299652099609375"
"Y","0.9288505576122766","0","0","1.7212369441986084","16734347252647","0.3499999940395355","0","1","1","N","51570.526560250204","2000-01-27 12:38:14.810","51570.6240139585","2000-01-27 14:58:34.810","0.10333062491447301","0.9215115308403397","0.37435181378425747","3245653","CRAB-FIELD-1","1","1","83.60205424040441","21.98425664179819","w2_f502n","18.778390884399414","0"
"Y","2.4258621807756096","0","0","1.7212369441986084","16734347235417","0.3499999940395355","0","1","1","N","51570.526560250204","2000-01-27 12:38:14.810","51570.6240139585","2000-01-27 14:58:34.810","0.10331941943815803","0.9215194774760069","0.37433534457729684","55778919","CRAB-FIELD-1","1","1","83.60279700904162","21.983239035683887","w2_f502n","19.971691131591797","0"
"Y","1.2083333592082177","0.05719493100238748","0","1.7212369441986084","16734348064558","0.3499999940395355","0","3","1","N","51475.62793526845","1999-10-24 15:04:13.610","51475.925620592665","1999-10-24 22:12:53.620","0.10317962550974873","0.9215808150045687","0.37422288318147234","18892166","CRAB-FIELD-3","3","1","83.6118026746755","21.97629041981089","w2_f631n","19.485599517822266","0"
"Y","1.5209195257603436","0","0","0.6835684180259705","16734347939394","0.3499999940395355","0","1","1","N","51570.526560250204","2000-01-27 12:38:14.810","51570.6240139585","2000-01-27 14:58:34.810","0.10324848945297749","0.9215718255548402","0.3742260276487417","38434960","CRAB-FIELD-1","1","1","83.60751251944686","21.976484701381008","w2_f502n","19.889591217041016","0"
"Y","2.186529650642922","0.25127567988095817","0","0.6835684180259705","16734348066163","0.3619999885559082","0","4","1","N","51475.62793526845","1999-10-24 15:04:13.610","51475.925620592665","1999-10-24 22:12:53.620","0.10315021700222425","0.9215902288748169","0.3742078069419519","3789199","CRAB-FIELD-3","4","1","83.61367310525003","21.975358934931922","w2_f631n","17.750900268554688","0"
"Y","1.3280954414097836","0.32318554318040654","0","1.7212369441986084","16734348104878","0.3499999940395355","0","4","1","N","51475.62793526845","1999-10-24 15:04:13.610","51475.925620592665","1999-10-24 22:12:53.620","0.10308772200194533","0.9215760866583614","0.374259853675796","72495999","CRAB-FIELD-3","4","1","83.61741327617247","21.978574666249333","w2_f631n","14.550699234008789","0"
"Y","1.3280954414097836","0.32318554318040654","0","1.7212369441986084","16734348104878","0.3499999940395355","0","4","1","N","51475.62793526845","1999-10-24 15:04:13.610","51475.925620592665","1999-10-24 22:12:53.620","0.10308772200194533","0.9215760866583614","0.374259853675796","72495999","CRAB-FIELD-3","4","1","83.61741327617247","21.978574666249333","w2_f673n","18.546100616455078","0"
"Y","1.3280954414097836","0.32318554318040654","0","1.7212369441986084","16734348104878","0.3499999940395355","0","4","1","N","51475.62793526845","1999-10-24 15:04:13.610","51475.925620592665","1999-10-24 22:12:53.620","0.10308772200194533","0.9215760866583614","0.374259853675796","72495999","CRAB-FIELD-3","4","1","83.61741327617247","21.978574666249333","w2_f502n","19.284000396728516","0"
"Y","1.1360465094100598","0","0","1.7212369441986084","16734347951998","0.3499999940395355","0","1","1","N","51570.661976951174","2000-01-27 15:53:14.813","51570.69368987018","2000-01-27 16:38:54.807","0.1032404150774567","0.9215495540773408","0.3742830961652008","90707189","CRAB-FIELD-1","1","1","83.60785509611304","21.98001073765453","w2_f673n","19.621191024780273","0"
"Y","1.0489654952082141","0","0","1.7212369441986084","16734347947186","0.3499999940395355","0","1","1","N","51570.526560250204","2000-01-27 12:38:14.810","51570.6240139585","2000-01-27 14:58:34.810","0.10326672323423162","0.9215362502330495","0.3743085937824313","47451171","CRAB-FIELD-1","1","1","83.60614817052048","21.981586162148847","w2_f502n","19.987091064453125","0"
"Y","2.261034510601526","0","0","1.7212369441986084","16734347942402","0.3499999940395355","0","1","1","N","51570.526560250204","2000-01-27 12:38:14.810","51570.6240139585","2000-01-27 14:58:34.810","0.10319739542293901","0.9215486618938475","0.3742971564680779","55107672","CRAB-FIELD-1","1","1","83.61049049652294","21.98087948120076","w2_f502n","19.962190628051758","0"
"Y","1.0806366961113056","0.1401033213493966","9.081581026256986","1.7212369441986084","16734347978487","0.19886363297700882","0.06146876411818644","4","20","N","51570.39531025011","2000-01-27 09:29:14.810","57607.32353999093","2016-08-07 07:45:53.857","0.10323477195130444","0.9215197528700377","0.37435801972409927","34235360","V-CM-TAU","22","19","83.60799660453516","21.98464009883832","a_f550m","18.03660011291504","0.03809928894042969"
"Y","1.0806366961113056","0.1401033213493966","9.081581026256986","1.7212369441986084","16734347978487","0.19886363297700882","0.06146876411818644","4","20","N","51570.39531025011","2000-01-27 09:29:14.810","57607.32353999093","2016-08-07 07:45:53.857","0.10323477195130444","0.9215197528700377","0.37435801972409927","34235360","V-CM-TAU","22","1","83.60799660453516","21.98464009883832","w2_f631n","17.890689849853516","0"
"Y","1.0806366961113056","0.1401033213493966","9.081581026256986","1.7212369441986084","16734347978487","0.19886363297700882","0.06146876411818644","4","20","N","51570.39531025011","2000-01-27 09:29:14.810","57607.32353999093","2016-08-07 07:45:53.857","0.10323477195130444","0.9215197528700377","0.37435801972409927","34235360","V-CM-TAU","22","1","83.60799660453516","21.98464009883832","w2_f673n","17.753591537475586","0"
"Y","1.0806366961113056","0.1401033213493966","9.081581026256986","1.7212369441986084","16734347978487","0.19886363297700882","0.06146876411818644","4","20","N","51570.39531025011","2000-01-27 09:29:14.810","57607.32353999093","2016-08-07 07:45:53.857","0.10323477195130444","0.9215197528700377","0.37435801972409927","34235360","V-CM-TAU","22","1","83.60799660453516","21.98464009883832","w2_f547m","18.79469108581543","0"
"Y","0.980257286733244","0.0937506745713359","0","1.7212369441986084","16734348104506","0.3499999940395355","0","4","1","N","51475.62793526845","1999-10-24 15:04:13.610","51475.925620592665","1999-10-24 22:12:53.620","0.10307599233964979","0.9215561566163264","0.37431215583698796","93069925","CRAB-FIELD-3","4","1","83.61799663715763","21.981806252642773","w2_f631n","17.4064998626709","0"
"Y","2.42987230113406","2.019381413051559","0","1.7212369441986084","16734348104560","0.3499999940395355","0","2","1","N","51475.62793526845","1999-10-24 15:04:13.610","51475.85733342823","1999-10-24 20:34:33.613","0.10307966478627748","0.9215514441133419","0.3743227465193242","82070062","CRAB-FIELD-3","2","1","83.61773876465718","21.982460626623233","w2_f502n","19.780500411987305","0"
