source_id,hip_source_id,angular_distance,score,xm_flag
2288940736653640320,98401,0.003140061,14.388982968954872,8
2292498687560557056,94083,0.006319464,14.625647838009447,8
1656990278195317120,87234,0.000448573,17.48258439539783,8
1139835946142603008,33694,0.001288126,17.44191157964295,8
1714135092946125184,69112,0.015739197,13.941945596763292,8
1693272581363394304,59504,0.007322752,14.098910174159876,8
2290599311287582464,99255,0.004960086,15.380651047649689,8
1707399209837352064,77055,0.003070246,16.360102314955174,8
2284809424791725952,104105,0.00493901,12.655029236184705,8
2285649898351302656,111056,0.002346146,16.54680080354578,8
553480551264062848,25110,0.00368364,15.57873769705362,8
567664766657362304,14417,0.00413402,14.411897601269608,8
1139165175331616768,39538,0.09879652,9.77407836719301,72
1141280704422528128,32439,0.002598779,17.407332683612935,8
565525976023772288,5626,0.004728233,7.6611722316539135,8
2294405721759384064,88127,0.019046392,9.76390225765326,8
557607327640557440,19461,0.19594908,7.471503479853615,16
2298101352139398144,101082,0.001222408,17.605824004350797,8
557132510414951552,23265,0.001716091,17.109602331893363,8
1144716265942885888,47193,0.003774279,16.044285814366408,8
2298389355466272256,100965,0.003262676,15.51431115672968,8
1710727122296357376,82080,0.011994443,11.37037386329136,8
1148730170578687744,36547,0.007325226,15.275979679250414,8
2298839158800911616,102208,0.007549969,11.731299405806343,8
2299721723041327104,112519,0.009572231,11.53812590812333,8
1726095477354219904,62561,0.015191279,9.414015304494058,8
2300042917875540992,113116,0.009011204,12.384719515534924,8
1726941826429202944,58874,0.000346795,20.587437538509466,8
574112955678493824,5372,0.006416617,15.157171751121796,8
1724851173788449536,85822,0.005230135,15.571453890241008,8
1727877167227120128,85699,0.007811878,13.121307217036634,8
1152025922322662656,37391,0.17229886,9.105014690367717,72
2304407257482669952,115746,0.07962255,9.593093950472555,72
1729093742484760320,84535,0.002765645,17.299446159998002,8
2265889028699755008,92782,0.029821234,6.865134082518211,8
2272649822619848064,107119,0.23235765,6.854834447445272,72
495235297172196864,17959,0.001693618,16.918721572224683,8
2266507332192054656,89908,0.9260549,1.5513962566055348,16
522135261462534528,10031,0.000661098,18.629939583310648,8
534889699426804224,5926,0.03817077,8.558916106081883,72
1695571110421334144,73440,0.028614303,10.482923091888477,8
1696798367260229376,74793,0.002602058,17.617278022510376,8
1698533229106119296,72181,0.00312483,11.313513090300361,8
1639295390892588288,87728,0.012399328,10.327122590197254,72
2230725272454627456,109434,0.000485695,18.227981904869118,8
1651268763282397312,86620,0.008177668,10.520693198505615,8
2272956105327778816,107230,0.004938722,12.966860055879668,8
2230744513908056192,109400,0.002388989,16.189539388903228,8
546439965996109696,9598,0.012662079,9.708838736974624,8
545900827338842752,12273,0.002575096,16.372196874980013,8
534739611789943808,7650,0.00193255,16.524866777958906,8
2278918344568877056,108535,0.001779901,16.780989448439176,8
2231107421466197120,111532,0.003276616,15.50163259501767,8
2279179890897526016,107995,0.000640299,18.15068171003124,8
1700334912051096704,73808,0.002052784,16.691715258896252,8
502574262409317504,24254,0.006275563,14.589389627559811,8
547825694242685184,14862,0.002424381,16.24117956669757,8
559093455043923456,9802,0.000852992,18.29700086931665,8
1712013379100616192,68956,0.000984428,19.628620735156975,8
539042726640996352,3721,0.00311393,15.693735313602339,8
1700658653802527104,73136,0.002024436,14.83051444633116,8
2277996747665651968,101260,0.04419048,1.173016022081838,8
539047365205648128,3572,0.00050793,17.685638926016466,8
1692365552989740928,60044,0.003650943,16.80577867897118,8
1702919077909941248,79420,0.001238256,18.632502259071504,8
2268467486545969792,92112,0.080236025,9.909081919916419,72
1713631344821548544,70692,0.018012632,10.736189065024787,72
1126897477422999936,51808,0.3600059,4.273111043730621,72
1704062466923822336,79822,0.2292412,7.949456986495789,72
1704123214941238656,79280,0.00485222,15.803253718670213,8
559491100295682048,9763,0.00365997,15.537488562964622,8
2245998176160116736,102253,0.002246142,16.262295518208884,8
1057043579564448000,57111,0.013659409,10.932227046929501,72
1679124752931512960,62423,0.052633625,10.927010771837924,72
2221245661158478336,105972,0.008564237,7.3015513752583585,8
1068971975056597632,44857,0.002331509,17.86914521586012,8
2221255178803314944,106085,0.004057216,10.541569585668759,8
1068982214258617216,45038,0.029421126,10.679152917028897,72
1643294658279720960,79414,0.000912563,19.619437038238924,8
1645425614893967744,74605,0.002729055,17.312825884489197,8
517650349234855424,11569,0.30644456,3.729389543356407,72
1102797861873269504,32864,0.001892821,17.407467056375463,8
1117104986348319232,44390,0.006609904,13.640609838463355,8
2255173119658513408,94376,0.012347519,11.952236119207836,8
2210840501590321792,117371,0.002351039,15.397123773244076,8
2249908073868915968,98702,0.00555291,14.720530616195202,8
519992038425091200,7965,0.00243382,15.431987908318643,8
2213911506286166400,115088,0.00657404,12.684245988268925,8
1637308298502075904,85805,0.007561093,12.32070089044441,8
521376186122882304,9009,0.001643819,15.731242310249051,8
2259767428992658816,89594,0.001738168,18.181206066708985,8
2259778527188126464,89448,0.057735864,9.917536660028707,72
1637717179389828224,86201,0.015291616,9.836911559066204,8
1649549642491581312,80650,0.0052497,15.537093222842932,8
532613572921048192,5518,0.001404633,15.61306497594826,8
1103352844667317632,33104,0.004333739,15.376010117981474,8
1649746523792049408,80161,0.008154848,9.897492767137456,8
1061520550394795392,56583,0.000842825,18.85074058808799,8
1061909811871141504,56211,0.007243982,15.719323452241206,8
1674016662427974400,69373,0.002810159,17.542875890044034,8
2261614264931057664,96100,0.002758647,16.592927317228895,8
1683102889080800640,61281,0.01594992,14.392667280297132,8
5770136009232924800,70638,0.007069031,13.390441912429718,8
5772879737424829184,69896,0.005601299,14.35292670682796,8
5195896888895916288,46928,0.011053383,8.332437470823532,8
5195912625655712512,46107,0.001375889,16.995314831416877,8
5198926661906152320,52633,0.004877023,14.458008419562939,8
5196984512053389056,43012,0.002589205,15.470427728767774,8
5773473920382493440,72370,0.006282381,13.440839838077661,8
5775835843156608256,81065,0.00474893,14.84353207873085,8
5778842011026728704,80047,0.01602764,7.738144561764965,8
5778842423342242048,80057,0.004207647,15.074747994137505,8
5199386085968886528,51839,0.008263766,13.20305173465953,8
2064128301409598464,100907,0.06311848,7.389395801864576,72
719103698606421888,44700,0.00238788,17.8514317052117,8
3457292409488611200,28946,0.02349525,8.687872449314682,72
1523092817316419712,64246,0.003196279,15.87348521280839,8
364785939116867072,4436,0.02439805,11.056911156012495,8
944237363047424000,33133,0.001331588,17.62599272319284,8
1953794542947272192,106551,0.29644772,3.888681256981007,72
1523140405554059008,64217,0.0019695,18.77553941043631,8
2072979060791869568,97630,0.002959457,13.991155106666577,8
1523144322564237440,64244,0.008979072,11.085808666741023,72
1872046574983497216,104217,0.15842918,6.212272706449905,72
1872046609345556480,104214,0.12719344,6.712362244352425,72
944319036146041984,33041,0.032722063,9.450563535282484,72
1352588216303348608,81833,0.00614463,16.103892849685593,8
756048560608728064,51420,0.000631888,19.757865128477395,8
1377362206141270272,76307,0.001525493,18.181834323899615,8
1532184644606148352,60646,0.0046866,16.95704694762305,8
332409925884477568,10176,0.00855378,14.142689921293522,8
332409925884476928,10180,0.103019625,9.195683958059861,72
1908095850396090880,111841,0.002871595,15.71039234960032,8
2099679223187100800,94481,0.008891476,11.656131797966733,8
191419859094194816,27483,0.008327588,10.99071287067159,8
775456761905169920,53838,0.100598,10.840107343467416,72
1920113512486282240,116076,0.005629542,10.557031378872379,8
1296505804661959936,73369,0.000492324,20.143487706153802,8
1521686782461765888,62207,0.003317636,11.321472996418303,72
